Unnamed: 0,Zone,State,City,Name,Type,Establishment Year,time needed to visit in hrs,Google review rating,Entrance Fee in INR,Airport with 50km Radius,Significance,DSLR Allowed,Number of google review in lakhs,Best Time to visit,pop_score,Latitude,Longitude
0,Northern,Delhi,Delhi,India Gate,War Memorial,1921,0.5,4.6,0,Yes,Historical,Yes,2.6,Evening,4.593013051930019,28.6138954,77.2090057
1,Northern,Delhi,Delhi,Humayun's Tomb,Tomb,1572,2.0,4.5,30,Yes,Historical,Yes,0.4,Afternoon,4.49587044534413,28.6138954,77.2090057
2,Northern,Delhi,Delhi,Akshardham Temple,Temple,2005,5.0,4.6,60,Yes,Religious,No,0.4,Afternoon,4.56604588394062,28.6138954,77.2090057
3,Northern,Delhi,Delhi,Waste to Wonder Park,Theme Park,2019,2.0,4.1,50,Yes,Environmental,Yes,0.27,Evening,4.249195804195804,28.6138954,77.2090057
4,Northern,Delhi,Delhi,Jantar Mantar,Observatory,1724,2.0,4.2,15,Yes,Scientific,Yes,0.31,Morning,4.301346153846154,28.6138954,77.2090057
5,Northern,Delhi,Delhi,Chandni Chowk,Market,1700,3.0,4.2,0,Yes,Market,Yes,0.25,Afternoon,4.315824175824176,28.6138954,77.2090057
6,Northern,Delhi,Delhi,Lotus Temple,Temple,1986,1.0,4.5,0,Yes,Religious,Yes,0.59,Evening,4.496902834008097,28.6138954,77.2090057
7,Northern,Delhi,Delhi,Red Fort,Fort,1648,2.0,4.5,35,Yes,Historical,Yes,1.5,Afternoon,4.498590511285123,28.6138954,77.2090057
8,Northern,Delhi,Delhi,Agrasen ki Baoli,Stepwell,1400,1.0,4.2,0,Yes,Historical,Yes,0.41,Afternoon,4.283872679045093,28.6138954,77.2090057
9,Northern,Delhi,Delhi,Sunder Nursery,Park,1600,2.0,4.6,0,Yes,Botanical,Yes,0.16,Afternoon,4.541351981351982,28.6138954,77.2090057
10,Northern,Delhi,Delhi,Garden of Five Senses,Park,2003,2.0,4.1,35,Yes,Botanical,Yes,0.23,Morning,4.264115384615384,28.6138954,77.2090057
11,Northern,Delhi,Delhi,Lodhi Garden,Park,1500,1.0,4.5,0,Yes,Botanical,Yes,0.48,All,4.496378698224852,28.6138954,77.2090057
12,Northern,Delhi,Delhi,National Gallery of Modern Art,Museum,1954,3.0,4.5,20,Yes,Artistic,Yes,0.08,All,4.490584615384616,28.6138954,77.2090057
13,Northern,Delhi,Delhi,National Zoological Park ,Zoo,1959,3.0,4.1,80,Yes,Environmental,Yes,0.41,All,4.213183023872679,28.6138954,77.2090057
14,Northern,Delhi,Delhi,Qutub Minar,Monument,1192,1.0,4.5,35,Yes,Historical,Yes,1.37,Afternoon,4.498471528471529,28.6138954,77.2090057
15,Northern,Delhi,Delhi,National Science Centre,Science,1992,5.0,4.4,70,Yes,Scientific,Yes,0.23,All,4.436615384615385,28.6138954,77.2090057
16,Western,Maharastra,Mumbai,Marine Drive,Promenade,Unknown,2.0,4.5,0,Yes,Scenic,Yes,1.5,Evening,4.498590511285123,19.054999,72.8692035
17,Western,Maharastra,Mumbai,Gateway of India,Monument,1924,1.0,4.6,0,Yes,Historical,Yes,3.6,All,4.594866353805346,19.054999,72.8692035
18,Western,Maharastra,Mumbai,Chhatrapati Shivaji Maharaj Vastu Sangrahalaya,Museum,1922,1.0,4.6,500,Yes,Historical,Yes,0.34,All,4.562051282051282,19.054999,72.8692035
19,Western,Maharastra,Mumbai,Sanjay Gandhi National Park,National Park,1996,3.0,4.3,50,Yes,Wildlife,Yes,0.6,All,4.341098901098901,19.054999,72.8692035
20,Western,Maharastra,Mumbai,Siddhivinayak Temple,Temple,1881,2.0,4.8,0,Yes,Religious,No,1.05,All,4.756267339218159,19.054999,72.8692035
21,Western,Maharastra,Mumbai,Mahalaxmi Temple,Temple,1831,1.0,4.7,0,Yes,Religious,No,0.33,All,4.627292307692308,19.054999,72.8692035
